Marque,Libelle_modele,Modele,Energie,Cylindree,Poids_a_vide,Essai_CO2_type_1,Essai_HC,Essai_Nox,Essai_HCNox,Prix_vehicule,PGR_CO2,PGR_HC,PGR_cumul
B.M.W.,SERIE_4,420,ESSENCE,1998,1525,0.355,0.027,0.014,,53100,0.355,0.675,1.03
ALFA_ROMEO,GIULIA,GIULIA,ESSENCE,1995,1429,0.241,0.045,0.023,,51625,0.241,1.125,1.366
RENAULT,KANGOO,KANGOO,ESSENCE,1332,1519,0.234,0.012,0.022,,31000,0.234,0.3,0.534
B.M.W.,SERIE_X,X3,ELEC+ESSENC_HR,1998,1990,0.642,0.017,0.012,,64950,0.642,0.42500000000000004,1.0670000000000002
DACIA,DUSTER,DUSTER,GAZOLE,1461,1354,0.146,0.049,0.019,0.068,21013,0.146,1.225,1.371
CITROEN,JUMPY_SPACE_TOURER,SPACE_TOURER,GAZOLE,1997,1660,0.028,0.004,0.023,0.027,35250,0.028,0.1,0.128
KIA,RIO,RIO,ESSENCE,998,1100,0.11,0.018,0.03,,19465,0.11,0.44999999999999996,0.5599999999999999
VOLKSWAGEN,CADDY,CADDY,ESSENCE,1498,1467,0.245,0.029,0.031,,29190,0.245,0.7250000000000001,0.9700000000000001
MERCEDES,CLASSE_GLC,GLC_300,ELEC+GAZOLE_HR,1950,2060,0.031,0.0,0.04,0.04,77775,0.031,0.0,0.031
DACIA,DUSTER,DUSTER,ESS+G.P.L.,999,1262,0.632,0.053,0.015,,18685,0.632,1.325,1.9569999999999999
DACIA,DUSTER,DUSTER,ESS+G.P.L.,999,1262,0.388,0.018,0.026,,18685,0.388,0.44999999999999996,0.838
SKODA,KAROQ,KAROQ,ESSENCE,1498,1321,0.192,0.027,0.022,,33965,0.192,0.675,0.867
SEAT,ATECA,ATECA,ESSENCE,999,1284,0.216,0.022,0.035,,30622,0.216,0.5499999999999999,0.7659999999999999
B.M.W.,M4,M4,ESSENCE,2993,1920,0.177,0.008,0.018,,115550,0.177,0.2,0.377
SEAT,ATECA,ATECA,GAZOLE,1968,1456,0.036,0.012,0.027,0.037,40423,0.036,0.3,0.33599999999999997
B.M.W.,SERIE_2,220,GAZOLE,1995,1505,0.19,0.053000000000000005,0.016,0.069,47413,0.19,1.3250000000000002,1.5150000000000001
B.M.W.,SERIE_1,118,GAZOLE,1995,1430,0.171,0.049,0.013,0.062,40410,0.171,1.225,1.3960000000000001
PORSCHE,MACAN_GTS,MACAN,ESSENCE,2894,1960,0.38,0.014,0.015,,93699,0.38,0.35000000000000003,0.73
MERCEDES,CLASSE_T,CLASSE_T,GAZOLE,1461,1603,0.149,0.054,0.03,0.084,35632,0.149,1.35,1.499
B.M.W.,SERIE_X,X2,GAZOLE,1995,1510,0.192,0.061000000000000006,0.024,0.085,43167,0.192,1.5250000000000001,1.717
SKODA,FABIA,FABIA,ESSENCE,999,1076,0.193,0.021,0.042,,22347,0.193,0.525,0.718
B.M.W.,SERIE_1,118,GAZOLE,1995,1430,0.171,0.049,0.013,0.062,40410,0.171,1.225,1.3960000000000001
RENAULT,KANGOO,KANGOO,ESSENCE,1332,1475,0.28,0.011,0.012,,25900,0.28,0.27499999999999997,0.5549999999999999
KIA,CEED,CEED,ELEC+ESSENC_HR,1580,1533,0.053,0.017,0.01,,38722,0.053,0.42500000000000004,0.47800000000000004
NISSAN,QASHQAI,QASHQAI,ESS+ELEC_HNR,1332,1457,0.312,0.015,0.024,,42920,0.312,0.375,0.687
B.M.W.,SERIE_4,420,ESSENCE,1998,1620,0.255,0.022,0.014,,53833,0.255,0.5499999999999999,0.8049999999999999
SKODA,OCTAVIA,OCTAVIA,GAZOLE,1968,1371,0.026,0.009000000000000001,0.043,0.052,32695,0.026,0.22500000000000003,0.25100000000000006
B.M.W.,SERIE_1,120,GAZOLE,1995,1515,0.071,0.037000000000000005,0.021,0.058,46988,0.071,0.9250000000000002,0.9960000000000001
MERCEDES,CLASSE_C,C_220,ELEC+GAZOLE_HR,1993,1655,0.063,0.007,0.007,0.014,58383,0.063,0.17500000000000002,0.23800000000000002
B.M.W.,SERIE_5,520,ELEC+GAZOLE_HR,1995,1840,0.1,0.029,0.019,0.048,62188,0.1,0.7250000000000001,0.8250000000000001
MINI,MINI,MINI,ESSENCE,1998,1275,0.227,0.016,0.01,,40700,0.227,0.4,0.627
B.M.W.,SERIE_1,118,ESSENCE,1499,1290,0.291,0.024,0.018,,35210,0.291,0.6,0.891
VOLKSWAGEN,CADDY,CADDY,ESSENCE,1498,1467,0.245,0.029,0.031,,30620,0.245,0.7250000000000001,0.9700000000000001
